CC35451,466491.136,605003.692,3083.895,NG,DIRT,,,,,,,,,,,,,,,,,,
CC35456,466499.486,604956.862,3084.339,NG,DIRT,,,,,,,,,,,,,,,,,,
CC35462,466524.684,604924.347,3084.119,NG,DIRT,,,,,,,,,,,,,,,,,,
CC35356,471003.137,615780.458,3021.619,TOE,CANAL,,,,,,,,,,,,,,,,,,
CC35357,470975.429,615783.341,3020.936,TOE,CANAL,CL WATER,,,,,,,,,,,,,,,,,
CC35358,470965.61,615783.089,3021.246,TOE,CANAL,CL GAS,,,,,,,,,,,,,,,,,
CC35359,470950.633,615782.488,3021.028,TOE,CANAL,CL OIL,,,,,,,,,,,,,,,,,
CC35360,470937.64,615782.133,3021.134,TOE,CANAL,,,,,,,,,,,,,,,,,,
CC35361,470937.553,615783.834,3021.079,TOE1,CANAL,,,,,,,,,,,,,,,,,,
CC35362,470950.642,615784.09,3021.219,TOE1,CANAL,CL OIL,,,,,,,,,,,,,,,,,
CC35363,470965.417,615784.743,3021.006,TOE1,CANAL,CL GAS,,,,,,,,,,,,,,,,,
CC35364,470975.66,615784.998,3020.759,TOE1,CANAL,CL WATER,,,,,,,,,,,,,,,,,
CC35365,471004.285,615785.327,3020.989,TOE1,CANAL,,,,,,,,,,,,,,,,,,
CC35351,470939.632,615761.066,3035.041,TOP,CANAL,,,,,,,,,,,,,,,,,,
CC35352,470950.357,615761.488,3034.473,TOP,CANAL,CL OIL,,,,,,,,,,,,,,,,,
CC35353,470965.462,615761.969,3034.288,TOP,CANAL,CL GAS,,,,,,,,,,,,,,,,,
CC35354,470975.477,615762.447,3033.906,TOP,CANAL,CL WATER,,,,,,,,,,,,,,,,,
CC35355,471005.288,615763.037,3033.662,TOP,CANAL,,,,,,,,,,,,,,,,,,
CC35461,466519.145,604950.621,3075.025,TOP_PIPE_AB,FABRICATION,FAB,SP94339,9.3,STEEL,FBE AND ARO,EDGEN MURRAY,8,0.322,X52M,3.7 CLR,,,,,,,,
CC35366,471009.241,615806.291,3034.216,TOP1,CANAL,,,,,,,,,,,,,,,,,,
CC35367,470975.708,615806.643,3035.269,TOP1,CANAL,CL WATER,,,,,,,,,,,,,,,,,
CC35368,470965.641,615806.769,3034.839,TOP1,CANAL,CL GAS,,,,,,,,,,,,,,,,,
CC35369,470950.648,615805.252,3035.23,TOP1,CANAL,CL OIL,,,,,,,,,,,,,,,,,
CC35370,470938.044,615806.09,3034.927,TOP1,CANAL,,,,,,,,,,,,,,,,,,
CC35382,470329.561,613659.016,3045.8,VALVE,BALL,MANUAL OPERATED,8,8F-600,ONPDU01-25,BALON,ABOVE GROUND,,,,,,,,,,,,
CC35392,470330.956,613656.816,3045.912,VALVE,BALL,MANUAL OPERATED,2,2F-600,NA,BALON,ABOVE GROUND,,,,,,,,,,,,
CC35397,470331.034,613656.832,3048.538,VALVE,RELIEF,MANUAL OPERATED,1,3000 CWP,12226114,WKM DYNASEAL,ABOVE GROUND,,,,,,,,,,,,
CC35402,470328.228,613661.199,3045.726,VALVE,BALL,MANUAL OPERATED,2,2F-600,NA,BALON,ABOVE GROUND,,,,,,,,,,,,
CC35407,470328.272,613661.201,3048.57,VALVE,RELIEF,MANUAL OPERATED,1,3000 CWP,12226114,WKM DYNASEAL,ABOVE GROUND,,,,,,,,,,,,
CC35414,470311.154,613660.494,3045.668,VALVE,BALL,MANUAL OPERATED,6.625,6F-600,ONR6J 02-25,BALON,ABOVE GROUND,,,,,,,,,,,,
CC35424,470312.348,613658.409,3045.87,VALVE,BALL,MANUAL OPERATED,2,2F-600,NA,BALON,ABOVE GROUND,,,,,,,,,,,,
CC35430,470309.757,613662.369,3045.764,VALVE,BALL,MANUAL OPERATED,2,2F-600,NA,BALON,ABOVE GROUND,,,,,,,,,,,,
CC35377,470332.513,613654.629,3044.503,NEST,FABRICATION,LMFB-002,BEND,FAB,923115,A407031,2,0,STEEL,BARE,0,0,SEGM,8,0.322,Y52,HFW,RC,ABOVE GROUND
CC35379,470331.66,613656.083,3045.156,WELD,FABRICATION,JXR-46,FAB,BEND,B416740,923115,2,0,STEEL,BARE,0,0,SEGM,8,0.322,NA,HFW,NA,ABOVE GROUND
CC35380,470330.513,613657.738,3044.929,WELD,FABRICATION,JXR-46,FLANGE,FAB,A/SA105N,B416740,0.45,0,STEEL,BARE,0,0,STD,8,0.322,NA,HFW,NA,ABOVE GROUND
CC35384,470328.853,613660.266,3045.019,WELD,FABRICATION,UNK,FAB,FLANGE,B416740,A/SA105N,2,0,STEEL,BARE,0,0,NA,8,0.322,NA,HFW,CH,ABOVE GROUND
CC35385,470327.637,613661.982,3044.778,WELD,FABRICATION,JXR-48,BEND,FAB,923115,B416740,2,0,STEEL,BARE,0,0,SEGM,8,0.322,NA,HFW,CH,ABOVE GROUND
CC35387,470326.796,613663.393,3044.325,WELD,FABRICATION,LMFB-003,FAB,BEND,A407031,923115,9.5,0,STEEL,FUSION BONDED EPOXY,14-16,0,EDGEN MURRAY,8,0.322,X52M,HFW,RC,ABOVE GROUND
CC35388,470330.994,613656.901,3045.02,WELD,FABRICATION,PT-4,APP,FAB,NA,B416740,0.1,0,STEEL,BARE,0,0,NA,2,0,F52,UNDETERMINED,NA,ABOVE GROUND
CC35390,470330.939,613656.881,3044.996,WELD,FABRICATION,JXR-63,FLANGE,APP,A/SA105N,NA,0.25,0,STEEL,BARE,0,0,PPI,2,0,B16,UNDETERMINED,NA,ABOVE GROUND
CC35394,470330.986,613656.834,3046.523,WELD,NEST,JXR-68,FAB,FLANGE,N3078669,A/SA105N,1,0,STEEL,BARE,0,0,NA,2,0,NA,UNDETERMINED,NA,ABOVE GROUND
CC35395,470331.021,613656.85,3047.595,WELD,FABRICATION,JXR-67,APP,FAB,NA,N3078669,0.1,0,STEEL,BARE,0,0,NA,2,0,NA,UNDETERMINED,NA,ABOVE GROUND
CC35398,470328.179,613661.165,3044.896,WELD,FABRICATION,PT-5,APP,FAB,NA,B416740,0.1,0,STEEL,BARE,0,0,NA,2,0,F52,UNDETERMINED,CH,ABOVE GROUND
CC35400,470328.271,613661.176,3044.957,WELD,FABRICATION,0,FLANGE,APP,A/SA105N,NA,0.25,0,STEEL,BARE,0,0,PPI,2,0,B16,UNDETERMINED,CH,ABOVE GROUND
CC35404,470328.252,613661.215,3046.448,WELD,FABRICATION,0,FAB,FLANGE,N3078669,A/SA105N,1,0,STEEL,BARE,0,0,NA,2,0,NA,UNDETERMINED,CH,ABOVE GROUND
CC35405,470328.269,613661.165,3047.499,WELD,FABRICATION,0,APP,FAB,NA,N3078669,0.1,0,STEEL,BARE,0,0,NA,2,0,NA,UNDETERMINED,CH,ABOVE GROUND
CC35409,470313.799,613656.6,3044.462,WELD,FABRICATION,LMFB-003,BEND,FAB,HE666,S70672,1.4,0,STEEL,BARE,0,0,SEGM,6.625,0.28,Y52,HFW,RC,ABOVE GROUND
CC35411,470313.021,613657.705,3045.054,WELD,FABRICATION,0,FAB,BEND,S70672,HE666,2,0,STEEL,BARE,0,0,NA,6.625,0.28,NA,HFW,CH,ABOVE GROUND
CC35412,470311.833,613659.262,3045.092,WELD,FABRICATION,0,FLANGE,FAB,A/SA105N,S70672,0.45,0,STEEL,BARE,0,0,NA,6.625,0.28,NA,HFW,CH,ABOVE GROUND
CC35416,470310.485,613661.61,3044.968,WELD,FABRICATION,JXR-68,FAB,FLANGE,S70672,A/SA105N,2,0,STEEL,BARE,0,0,NA,6.625,0.28,NA,HFW,CH,ABOVE GROUND
CC35417,470309.344,613663.156,3044.588,WELD,FABRICATION,JXR-69,BEND,FAB,HE666,S70672,1.4,0,STEEL,BARE,0,0,SEGM,6.625,0.28,Y52,HFW,CH,ABOVE GROUND
CC35419,470308.478,613664.196,3044.45,WELD,FABRICATION,LMFB-002,FAB,BEND,676210,HE666,12,0,STEEL,FUSION BONDED EPOXY,14-16,0,EDGEN MURRAY,6.625,0.28,X52M,HFW,KB,ABOVE GROUND
CC35420,470312.338,613658.371,3044.927,WELD,FABRICATION,JPT-3,APP,FAB,A694,S70672,0.1,0,STEEL,BARE,0,0,NA,2,0,F52,UNDETERMINED,CH,ABOVE GROUND
CC35422,470312.423,613658.383,3045.086,WELD,FABRICATION,na,FLANGE,APP,SA105N,A694,0.25,0,STEEL,BARE,0,0,WELDBEND,2,0,B16,UNDETERMINED,CH,ABOVE GROUND
CC35426,470309.708,613662.339,3044.879,WELD,FABRICATION,na,APP,FAB,A694,S70672,0.1,0,STEEL,BARE,0,0,NA,2,0,F52,UNDETERMINED,CH,ABOVE GROUND
CC35428,470309.83,613662.36,3044.988,WELD,FABRICATION,JXR-80,FLANGE,APP,SA105,A694,0.25,0,STEEL,BARE,0,0,WELDBEND,2,0,B16,UNDETERMINED,CH,ABOVE GROUND
CC35452,466494.918,605000.819,3075.13,WELD,FABRICATION,LMFB-014,BEND,FAB,AR3E7,SP94342,2,8.7,STEEL,BARE,0,0,SEGM,8,0.322,Y52,HFW,EM,
CC35454,466494.952,605000.643,3074.244,WELD,FABRICATION,JXR-56,FAB,BEND,A407031,AR3E7,5,9.6,STEEL,FUSION BONDED EPOXY,14-16,0,EDGEN MURRAY,8,0.322,X52M,HFW,SO,
CC35455,466497.482,604996.403,3074.324,WELD,FABRICATION,NA,FAB,FAB,SP94342,A407031,25.2,9.5,STEEL,FBE AND ARO,0,14-16,EDGEN MURRAY,8,0.322,X52M,HFW,EM,
CC35459,466508.416,604973.632,3074.842,WELD,FABRICATION,NA,FAB,FAB,SP94339,SP94342,42,9.4,STEEL,FBE AND ARO,0,14-16,EDGEN MURRAY,8,0.322,X52M,HFW,EM,
CC35463,466525.382,604935.067,3075.136,WELD,FABRICATION,LMTI-051,FAB,FAB,A407031,SP94339,5,8.9,STEEL,FUSION BONDED EPOXY,14-16,0,EDGEN MURRAY,8,0.322,X52M,HFW,EM,
CC35464,466527.183,604930.581,3075.31,WELD,FABRICATION,NA,BEND,FAB,AR3E7,A407031,2,8.8,STEEL,BARE,0,0,EDGEN MURRAY,8,0.322,Y52,HFW,SO,
CC35466,466527.31,604930.169,3075.791,WELD,FABRICATION,LMFB-011,FAB,BEND,SP94339,ARE37,10.6,8.3,STEEL,FUSION BONDED EPOXY,14-16,0,EDGEN MURRAY,8,0.322,X52M,HFW,KB,
